Geracao,ID_Genoma,Fitness,Pontos
1,10,2.800000000000001,0
1,11,2.800000000000001,0
1,17,2.800000000000001,0
1,20,2.800000000000001,0
1,1,2.9000000000000012,0
1,4,2.9000000000000012,0
1,6,2.9000000000000012,0
1,7,2.9000000000000012,0
1,8,2.9000000000000012,0
1,9,2.9000000000000012,0
1,10,2.9000000000000012,0
1,11,2.9000000000000012,0
1,17,2.9000000000000012,0
1,20,2.9000000000000012,0
1,1,3.0000000000000013,0
1,4,3.0000000000000013,0
1,6,3.0000000000000013,0
1,7,3.0000000000000013,0
1,8,3.0000000000000013,0
1,9,3.0000000000000013,0
1,10,3.0000000000000013,0
1,11,3.0000000000000013,0
1,17,3.0000000000000013,0
1,20,3.0000000000000013,0
1,1,3.1000000000000014,0
1,4,3.1000000000000014,0
1,6,3.1000000000000014,0
1,7,3.1000000000000014,0
1,10,3.1000000000000014,0
1,11,3.1000000000000014,0
1,17,3.1000000000000014,0
1,20,3.1000000000000014,0
1,1,3.2000000000000015,0
1,4,3.2000000000000015,0
1,6,3.2000000000000015,0
1,10,3.2000000000000015,0
1,11,3.2000000000000015,0
1,17,3.2000000000000015,0
1,20,3.2000000000000015,0
1,4,3.3000000000000016,0
1,10,3.3000000000000016,0
1,20,3.3000000000000016,0
1,4,3.4000000000000017,0
1,10,3.4000000000000017,0
1,20,3.4000000000000017,0
1,4,3.5000000000000018,0
1,10,3.5000000000000018,0
1,20,3.5000000000000018,0
1,4,3.600000000000002,0
1,10,3.600000000000002,0
1,20,3.600000000000002,0
1,4,3.700000000000002,0
1,10,3.700000000000002,0
1,20,3.700000000000002,0
1,4,3.800000000000002,0
1,10,3.800000000000002,0
1,20,3.800000000000002,0
1,4,3.900000000000002,0
1,10,3.900000000000002,0
1,20,3.900000000000002,0
1,4,4.000000000000002,0
1,10,4.000000000000002,0
1,20,4.000000000000002,0
1,4,4.100000000000001,0
1,10,4.100000000000001,0
1,20,4.100000000000001,0
1,4,4.200000000000001,0
1,10,4.200000000000001,0
1,20,4.200000000000001,0
1,4,4.300000000000001,0
1,10,4.300000000000001,0
1,20,4.300000000000001,0
1,4,4.4,0
1,10,4.4,0
1,20,4.4,0
1,4,4.5,0
1,10,4.5,0
1,20,4.5,0
1,4,4.6,0
1,10,4.6,0
1,20,4.6,0
1,4,4.699999999999999,0
1,10,4.699999999999999,0
1,20,4.699999999999999,0
1,4,4.799999999999999,0
1,10,4.799999999999999,0
1,20,4.799999999999999,0
1,4,4.899999999999999,0
1,10,4.899999999999999,0
1,20,4.899999999999999,0
1,4,4.999999999999998,0
1,10,4.999999999999998,0
1,20,4.999999999999998,0
1,4,5.099999999999998,0
1,10,5.099999999999998,0
1,20,5.099999999999998,0
1,4,5.1999999999999975,0
1,10,5.1999999999999975,0
1,20,5.1999999999999975,0
1,4,5.299999999999997,0
1,10,5.299999999999997,0
1,20,5.299999999999997,0
1,4,5.399999999999997,0
1,10,5.399999999999997,0
1,20,5.399999999999997,0
1,4,5.4999999999999964,0
1,10,5.4999999999999964,0
1,20,5.4999999999999964,0
1,4,5.599999999999996,0
1,10,5.599999999999996,0
1,20,5.599999999999996,0
1,4,5.699999999999996,0
1,10,5.699999999999996,0
1,20,5.699999999999996,0
1,4,5.799999999999995,0
1,10,5.799999999999995,0
1,20,5.799999999999995,0
1,4,5.899999999999995,0
1,10,5.899999999999995,0
1,20,5.899999999999995,0
1,4,5.999999999999995,0
1,10,5.999999999999995,0
1,20,5.999999999999995,0
1,4,6.099999999999994,0
1,10,6.099999999999994,0
1,20,6.099999999999994,0
1,4,6.199999999999994,0
1,10,6.199999999999994,0
1,20,6.199999999999994,0
1,4,6.299999999999994,0
1,10,6.299999999999994,0
1,20,6.299999999999994,0
1,4,6.399999999999993,0
1,10,6.399999999999993,0
1,20,6.399999999999993,0
1,4,6.499999999999993,0
1,10,6.499999999999993,0
1,20,6.499999999999993,0
1,4,6.5999999999999925,0
1,10,6.5999999999999925,0
1,20,6.5999999999999925,0
1,4,6.699999999999992,0
1,10,6.699999999999992,0
1,20,6.699999999999992,0
1,4,6.799999999999992,0
1,10,6.799999999999992,0
1,20,6.799999999999992,0
1,4,6.8999999999999915,0
1,10,6.8999999999999915,0
1,20,6.8999999999999915,0
1,4,6.999999999999991,0
1,10,6.999999999999991,0
1,20,6.999999999999991,0
1,4,7.099999999999991,0
1,10,7.099999999999991,0
1,20,7.099999999999991,0
1,4,7.19999999999999,0
1,10,7.19999999999999,0
1,20,7.19999999999999,0
1,4,7.29999999999999,0
1,10,7.29999999999999,0
1,20,7.29999999999999,0
1,4,7.39999999999999,0
1,10,7.39999999999999,0
1,20,7.39999999999999,0
1,4,7.499999999999989,0
1,10,7.499999999999989,0
1,20,7.499999999999989,0
1,4,7.599999999999989,0
1,10,7.599999999999989,0
1,20,7.599999999999989,0
1,4,7.699999999999989,0
1,10,7.699999999999989,0
1,20,7.699999999999989,0
1,4,7.799999999999988,0
1,10,7.799999999999988,0
1,20,7.799999999999988,0
1,4,7.899999999999988,0
1,10,7.899999999999988,0
1,20,7.899999999999988,0
1,4,7.999999999999988,0
1,10,7.999999999999988,0
1,20,7.999999999999988,0
1,4,8.099999999999987,0
1,10,8.099999999999987,0
1,20,8.099999999999987,0
1,4,8.199999999999987,0
1,10,8.199999999999987,0
1,20,8.199999999999987,0
1,4,8.299999999999986,0
1,20,8.299999999999986,0
1,20,8.399999999999986,0
2,20,0,0
2,4,0,0
2,21,0,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,20,0.1,0
2,4,0.1,0
2,21,0.1,0
2,22,0.1,0
2,23,0.1,0
2,24,0.1,0
2,25,0.1,0
2,26,0.1,0
2,27,0.1,0
2,28,0.1,0
2,29,0.1,0
2,30,0.1,0
2,31,0.1,0
2,32,0.1,0
2,33,0.1,0
2,34,0.1,0
2,35,0.1,0
2,36,0.1,0
2,37,0.1,0
2,38,0.1,0
2,20,0.2,0
2,4,0.2,0
2,21,0.2,0
2,22,0.2,0
2,23,0.2,0
2,24,0.2,0
2,25,0.2,0
2,26,0.2,0
2,27,0.2,0
2,28,0.2,0
2,29,0.2,0
2,30,0.2,0
2,31,0.2,0
2,32,0.2,0
2,33,0.2,0
2,34,0.2,0
2,35,0.2,0
2,36,0.2,0
2,37,0.2,0
2,38,0.2,0
2,20,0.30000000000000004,0
2,4,0.30000000000000004,0
2,21,0.30000000000000004,0
2,22,0.30000000000000004,0
2,23,0.30000000000000004,0
2,24,0.30000000000000004,0
2,25,0.30000000000000004,0
2,26,0.30000000000000004,0
2,27,0.30000000000000004,0
2,28,0.30000000000000004,0
2,29,0.30000000000000004,0
2,30,0.30000000000000004,0
2,31,0.30000000000000004,0
2,32,0.30000000000000004,0
2,33,0.30000000000000004,0
2,34,0.30000000000000004,0
2,35,0.30000000000000004,0
2,36,0.30000000000000004,0
2,37,0.30000000000000004,0
2,38,0.30000000000000004,0
2,20,0.4,0
2,4,0.4,0
2,21,0.4,0
2,22,0.4,0
2,23,0.4,0
2,24,0.4,0
2,25,0.4,0
2,26,0.4,0
2,27,0.4,0
2,28,0.4,0
2,29,0.4,0
2,30,0.4,0
2,31,0.4,0
2,32,0.4,0
2,33,0.4,0
2,34,0.4,0
2,35,0.4,0
2,36,0.4,0
2,37,0.4,0
2,38,0.4,0
2,20,0.5,0
2,4,0.5,0
2,21,0.5,0
2,22,0.5,0
2,23,0.5,0
2,24,0.5,0
2,25,0.5,0
2,26,0.5,0
2,27,0.5,0
2,28,0.5,0
2,29,0.5,0
2,30,0.5,0
2,31,0.5,0
2,32,0.5,0
2,33,0.5,0
2,34,0.5,0
2,35,0.5,0
2,36,0.5,0
2,37,0.5,0
2,38,0.5,0
2,20,0.6,0
2,4,0.6,0
2,21,0.6,0
2,22,0.6,0
2,23,0.6,0
2,24,0.6,0
2,25,0.6,0
2,26,0.6,0
2,27,0.6,0
2,28,0.6,0
2,29,0.6,0
2,30,0.6,0
2,31,0.6,0
2,32,0.6,0
2,33,0.6,0
2,34,0.6,0
2,35,0.6,0
2,36,0.6,0
2,37,0.6,0
2,38,0.6,0
2,20,0.7,0
2,4,0.7,0
2,21,0.7,0
2,22,0.7,0
2,23,0.7,0
2,24,0.7,0
2,25,0.7,0
2,26,0.7,0
2,27,0.7,0
2,28,0.7,0
2,29,0.7,0
2,30,0.7,0
2,31,0.7,0
2,32,0.7,0
2,33,0.7,0
2,34,0.7,0
2,35,0.7,0
2,36,0.7,0
2,37,0.7,0
2,38,0.7,0
2,20,0.7999999999999999,0
2,4,0.7999999999999999,0
2,21,0.7999999999999999,0
2,22,0.7999999999999999,0
2,23,0.7999999999999999,0
2,24,0.7999999999999999,0
2,25,0.7999999999999999,0
2,26,0.7999999999999999,0
2,27,0.7999999999999999,0
2,28,0.7999999999999999,0
2,29,0.7999999999999999,0
2,30,0.7999999999999999,0
2,31,0.7999999999999999,0
2,32,0.7999999999999999,0
2,33,0.7999999999999999,0
2,34,0.7999999999999999,0
2,35,0.7999999999999999,0
2,36,0.7999999999999999,0
2,37,0.7999999999999999,0
2,38,0.7999999999999999,0
2,20,0.8999999999999999,0
2,4,0.8999999999999999,0
2,21,0.8999999999999999,0
2,22,0.8999999999999999,0
2,23,0.8999999999999999,0
2,24,0.8999999999999999,0
2,25,0.8999999999999999,0
2,26,0.8999999999999999,0
2,27,0.8999999999999999,0
2,28,0.8999999999999999,0
2,29,0.8999999999999999,0
2,30,0.8999999999999999,0
2,31,0.8999999999999999,0
2,32,0.8999999999999999,0
2,33,0.8999999999999999,0
2,34,0.8999999999999999,0
2,35,0.8999999999999999,0
2,36,0.8999999999999999,0
2,37,0.8999999999999999,0
2,38,0.8999999999999999,0
2,20,0.9999999999999999,0
2,4,0.9999999999999999,0
2,21,0.9999999999999999,0
2,22,0.9999999999999999,0
2,23,0.9999999999999999,0
2,24,0.9999999999999999,0
2,25,0.9999999999999999,0
2,26,0.9999999999999999,0
2,27,0.9999999999999999,0
2,28,0.9999999999999999,0
2,29,0.9999999999999999,0
2,30,0.9999999999999999,0
2,31,0.9999999999999999,0
2,32,0.9999999999999999,0
2,33,0.9999999999999999,0
2,34,0.9999999999999999,0
2,35,0.9999999999999999,0
2,36,0.9999999999999999,0
2,37,0.9999999999999999,0
2,38,0.9999999999999999,0
2,20,1.0999999999999999,0
2,4,1.0999999999999999,0
2,21,1.0999999999999999,0
2,22,1.0999999999999999,0
2,23,1.0999999999999999,0
2,24,1.0999999999999999,0
2,25,1.0999999999999999,0
2,26,1.0999999999999999,0
2,27,1.0999999999999999,0
2,28,1.0999999999999999,0
2,29,1.0999999999999999,0
2,30,1.0999999999999999,0
2,31,1.0999999999999999,0
2,32,1.0999999999999999,0
2,33,1.0999999999999999,0
2,34,1.0999999999999999,0
2,35,1.0999999999999999,0
2,36,1.0999999999999999,0
2,37,1.0999999999999999,0
2,38,1.0999999999999999,0
2,20,1.2,0
2,4,1.2,0
2,21,1.2,0
2,22,1.2,0
2,23,1.2,0
2,24,1.2,0
2,25,1.2,0
2,26,1.2,0
2,27,1.2,0
2,28,1.2,0
2,29,1.2,0
2,30,1.2,0
2,31,1.2,0
2,32,1.2,0
2,33,1.2,0
2,34,1.2,0
2,35,1.2,0
2,36,1.2,0
2,37,1.2,0
2,38,1.2,0
2,20,1.3,0
2,4,1.3,0
2,21,1.3,0
2,22,1.3,0
2,23,1.3,0
2,24,1.3,0
2,25,1.3,0
2,26,1.3,0
2,27,1.3,0
2,28,1.3,0
2,29,1.3,0
2,30,1.3,0
2,31,1.3,0
2,32,1.3,0
2,33,1.3,0
2,34,1.3,0
2,35,1.3,0
2,36,1.3,0
2,37,1.3,0
2,38,1.3,0
2,20,1.4000000000000001,0
2,4,1.4000000000000001,0
2,21,1.4000000000000001,0
2,22,1.4000000000000001,0
2,23,1.4000000000000001,0
2,24,1.4000000000000001,0
2,25,1.4000000000000001,0
2,26,1.4000000000000001,0
2,27,1.4000000000000001,0
2,28,1.4000000000000001,0
2,29,1.4000000000000001,0
2,30,1.4000000000000001,0
2,31,1.4000000000000001,0
2,32,1.4000000000000001,0
2,33,1.4000000000000001,0
2,34,1.4000000000000001,0
2,35,1.4000000000000001,0
2,36,1.4000000000000001,0
2,37,1.4000000000000001,0
2,38,1.4000000000000001,0
2,20,1.5000000000000002,0
2,4,1.5000000000000002,0
2,21,1.5000000000000002,0
2,22,1.5000000000000002,0
2,23,1.5000000000000002,0
2,24,1.5000000000000002,0
2,25,1.5000000000000002,0
2,26,1.5000000000000002,0
2,27,1.5000000000000002,0
2,28,1.5000000000000002,0
2,29,1.5000000000000002,0
2,30,1.5000000000000002,0
2,31,1.5000000000000002,0
2,32,1.5000000000000002,0
2,33,1.5000000000000002,0
2,34,1.5000000000000002,0
2,35,1.5000000000000002,0
2,36,1.5000000000000002,0
2,37,1.5000000000000002,0
2,38,1.5000000000000002,0
2,20,1.6000000000000003,0
2,4,1.6000000000000003,0
2,21,1.6000000000000003,0
2,22,1.6000000000000003,0
2,23,1.6000000000000003,0
2,24,1.6000000000000003,0
2,25,1.6000000000000003,0
2,26,1.6000000000000003,0
2,27,1.6000000000000003,0
2,28,1.6000000000000003,0
2,29,1.6000000000000003,0
2,30,1.6000000000000003,0
2,31,1.6000000000000003,0
